Program: 170002815 & 170001567 - CS5052 P1
Command: p1.py -f movies -b watches -c 50 -o examples/part_1/movies-highest-watch-count.txt
Data directory: data/ml-latest/
Date: 2021.04.03 15:28

+-------+-----------------------------------------------------------------------+----------------------------------------------------------+----+-------+------------------+
|movieId|title                                                                  |genres                                                    |year|ratings|avgRating         |
+-------+-----------------------------------------------------------------------+----------------------------------------------------------+----+-------+------------------+
|318    |Shawshank Redemption, The                                              |[Crime, Drama]                                            |1994|97999  |4.424188001918387 |
|356    |Forrest Gump                                                           |[Comedy, Drama, Romance, War]                             |1994|97040  |4.056584913437757 |
|296    |Pulp Fiction                                                           |[Comedy, Crime, Drama, Thriller]                          |1994|92406  |4.173971387139363 |
|593    |Silence of the Lambs, The                                              |[Crime, Horror, Thriller]                                 |1991|87899  |4.15141241652351  |
|2571   |Matrix, The                                                            |[Action, Sci-Fi, Thriller]                                |1999|84545  |4.149695428470046 |
|260    |Star Wars: Episode IV - A New Hope                                     |[Action, Adventure, Sci-Fi]                               |1977|81815  |4.120454684348836 |
|480    |Jurassic Park                                                          |[Action, Adventure, Sci-Fi, Thriller]                     |1993|76451  |3.6650338125073576|
|527    |Schindler's List                                                       |[Drama, War]                                              |1993|71516  |4.257501817775044 |
|110    |Braveheart                                                             |[Action, Drama, War]                                      |1995|68803  |4.008480734851678 |
|1      |Toy Story                                                              |[Adventure, Animation, Children, Comedy, Fantasy]         |1995|68469  |3.8866494325899312|
|1210   |Star Wars: Episode VI - Return of the Jedi                             |[Action, Adventure, Sci-Fi]                               |1983|66023  |3.986042742680581 |
|1196   |Star Wars: Episode V - The Empire Strikes Back                         |[Action, Adventure, Sci-Fi]                               |1980|65822  |4.133481206891313 |
|2959   |Fight Club                                                             |[Action, Crime, Drama, Thriller]                          |1999|65678  |4.230663235786717 |
|589    |Terminator 2: Judgment Day                                             |[Action, Sci-Fi]                                          |1991|64258  |3.9415014472906096|
|1198   |Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)|[Action, Adventure]                                       |1981|63505  |4.120455082276986 |
|50     |Usual Suspects, The                                                    |[Crime, Mystery, Thriller]                                |1995|62180  |4.291958829205532 |
|4993   |Lord of the Rings: The Fellowship of the Ring, The                     |[Adventure, Fantasy]                                      |2001|61883  |4.0979428922321155|
|858    |Godfather, The                                                         |[Crime, Drama]                                            |1972|60904  |4.332892749244713 |
|2858   |American Beauty                                                        |[Drama, Romance]                                          |1999|60820  |4.121506083525156 |
|780    |Independence Day (a.k.a. ID4)                                          |[Action, Adventure, Sci-Fi, Thriller]                     |1996|58949  |3.3971653463163074|
|150    |Apollo 13                                                              |[Adventure, Drama, IMAX]                                  |1995|58665  |3.8843006903605217|
|457    |Fugitive, The                                                          |[Thriller]                                                |1993|58031  |3.979976219606762 |
|1270   |Back to the Future                                                     |[Adventure, Comedy, Sci-Fi]                               |1985|57492  |3.929998956376539 |
|7153   |Lord of the Rings: The Return of the King, The                         |[Action, Adventure, Drama, Fantasy]                       |2003|57378  |4.102853009864408 |
|5952   |Lord of the Rings: The Two Towers, The                                 |[Adventure, Fantasy]                                      |2002|56696  |4.074705446592352 |
|47     |Seven (a.k.a. Se7en)                                                   |[Mystery, Thriller]                                       |1995|55240  |4.071687183200579 |
